accession,name,monoisotopic_mass,formula
HMDB0283605,"PS(20:3(5Z,11Z,14Z)-O(8,9)/24:0)",911.62514972,C50H90NO11P
HMDB0283606,"PS(24:0/20:3(8Z,11Z,14Z)-O(5,6))",911.62514972,C50H90NO11P
HMDB0283607,"PS(20:3(8Z,11Z,14Z)-O(5,6)/24:0)",911.62514972,C50H90NO11P
HMDB0283608,"PS(24:0/20:4(5Z,8Z,11Z,14Z)-OH(20))",911.62514972,C50H90NO11P
HMDB0283609,"PS(20:4(5Z,8Z,11Z,14Z)-OH(20)/24:0)",911.62514972,C50H90NO11P
HMDB0283610,"PS(24:0/20:4(6E,8Z,11Z,14Z)-OH(5S))",911.62514972,C50H90NO11P
HMDB0283611,"PS(20:4(6E,8Z,11Z,14Z)-OH(5S)/24:0)",911.62514972,C50H90NO11P
HMDB0283612,"PS(24:0/20:4(5Z,8Z,11Z,14Z)-OH(19S))",911.62514972,C50H90NO11P
HMDB0283613,"PS(20:4(5Z,8Z,11Z,14Z)-OH(19S)/24:0)",911.62514972,C50H90NO11P
HMDB0283614,"PS(24:0/20:4(5Z,8Z,11Z,14Z)-OH(18R))",911.62514972,C50H90NO11P
HMDB0283615,"PS(20:4(5Z,8Z,11Z,14Z)-OH(18R)/24:0)",911.62514972,C50H90NO11P
HMDB0283616,"PS(24:0/20:4(5Z,8Z,11Z,14Z)-OH(17))",911.62514972,C50H90NO11P
HMDB0283617,"PS(20:4(5Z,8Z,11Z,14Z)-OH(17)/24:0)",911.62514972,C50H90NO11P
HMDB0283618,"PS(24:0/20:4(5Z,8Z,11Z,14Z)-OH(16R))",911.62514972,C50H90NO11P
HMDB0283619,"PS(20:4(5Z,8Z,11Z,14Z)-OH(16R)/24:0)",911.62514972,C50H90NO11P
HMDB0283620,"PS(24:0/20:4(5Z,8Z,11Z,13E)-OH(15S))",911.62514972,C50H90NO11P
HMDB0283621,"PS(20:4(5Z,8Z,11Z,13E)-OH(15S)/24:0)",911.62514972,C50H90NO11P
HMDB0283622,"PS(24:0/20:4(5Z,8Z,10E,14Z)-OH(12S))",911.62514972,C50H90NO11P
HMDB0283623,"PS(20:4(5Z,8Z,10E,14Z)-OH(12S)/24:0)",911.62514972,C50H90NO11P
HMDB0283624,"PS(24:0/20:4(5E,8Z,12Z,14Z)-OH(11R))",911.62514972,C50H90NO11P
HMDB0283625,"PS(20:4(5E,8Z,12Z,14Z)-OH(11R)/24:0)",911.62514972,C50H90NO11P
HMDB0283626,"PS(24:0/20:4(5Z,7E,11Z,14Z)-OH(9))",911.62514972,C50H90NO11P
HMDB0283627,"PS(20:4(5Z,7E,11Z,14Z)-OH(9)/24:0)",911.62514972,C50H90NO11P
HMDB0283628,PS(24:0/PGE2),943.61497896,C50H90NO13P
HMDB0283629,PS(PGE2/24:0),943.61497896,C50H90NO13P
HMDB0283630,PS(24:0/PGD2),943.61497896,C50H90NO13P
HMDB0283631,PS(PGD2/24:0),943.61497896,C50H90NO13P
HMDB0283632,PS(24:0/6 keto-PGF1alpha),961.625543644,C50H92NO14P
HMDB0283633,PS(6 keto-PGF1alpha/24:0),961.625543644,C50H92NO14P
HMDB0283634,PS(24:0/PGF2alpha),945.630629024,C50H92NO13P
HMDB0283635,PS(PGF2alpha/24:0),945.630629024,C50H92NO13P
HMDB0283636,PS(24:0/PGJ2),925.604414276,C50H88NO12P
HMDB0283637,PS(PGJ2/24:0),925.604414276,C50H88NO12P
HMDB0283638,PS(24:0/LTE4),1030.629249299,C53H95N2O13PS
HMDB0283639,PS(LTE4/24:0),1030.629249299,C53H95N2O13PS
HMDB0283640,"PS(24:0/20:4(6Z,8E,10E,14Z)-2OH(5S,12R))",927.62006434,C50H90NO12P
HMDB0283641,"PS(20:4(6Z,8E,10E,14Z)-2OH(5S,12R)/24:0)",927.62006434,C50H90NO12P
HMDB0283642,PS(24:0/TXB2),961.625543644,C50H92NO14P
HMDB0283643,PS(TXB2/24:0),961.625543644,C50H92NO14P
