accession,name,monoisotopic_mass,formula
HMDB0014687,Desoximetasone,376.204987621,C22H29FO4
HMDB0014689,Zafirlukast,575.209006493,C31H33N3O6S
HMDB0014690,Propylthiouracil,170.051383642,C7H10N2OS
HMDB0014691,Acetohydroxamic Acid,75.032028409,C2H5NO2
HMDB0014692,Pentostatin,268.11715502,C11H16N4O4
HMDB0014693,Methoxsalen,216.042258738,C12H8O4
HMDB0014694,Piroxicam,331.062676609,C15H13N3O4S
HMDB0014695,Lamotrigine,255.007850663,C9H7Cl2N5
HMDB0014696,Perflutren,187.98722564,C3F8
HMDB0014697,Hydroxyzine,374.176105825,C21H27ClN2O2
HMDB0014698,Zanamivir,332.133199014,C12H20N4O7
HMDB0014699,Bosentan,551.183854375,C27H29N5O6S
HMDB0014700,Tigecycline,585.279863249,C29H39N5O8
HMDB0014701,Doxapram,378.230728214,C24H30N2O2
HMDB0014702,Benzthiazide,430.983495728,C15H14ClN3O4S3
HMDB0014703,Methotrexate,454.171315854,C20H22N8O5
HMDB0014704,Carbamazepine,236.094963016,C15H12N2O
HMDB0014706,Succimer,181.97075006,C4H6O4S2
HMDB0014707,Cephalexin,347.093976737,C16H17N3O4S
HMDB0014708,Cinnarizine,368.225248906,C26H28N2
HMDB0014709,Fondaparinux sodium,1506.951330709,C31H53N3O49S8
HMDB0014710,Vinblastine,810.420379474,C46H58N4O9
HMDB0014713,Fenoprofen,242.094294314,C15H14O3
HMDB0014714,Clonidine,229.017352717,C9H9Cl2N3
HMDB0014715,Sulfamethizole,270.024516964,C9H10N4O2S2
HMDB0014716,Valaciclovir,324.154603158,C13H20N6O4
HMDB0014717,Carbenicillin,378.088557008,C17H18N2O6S
HMDB0014718,Mazindol,284.071640755,C16H13ClN2O
HMDB0014720,Voriconazole,349.11504471,C16H14F3N5O
HMDB0014722,Enalapril,376.199822016,C20H28N2O5
HMDB0014723,Nizatidine,331.113666321,C12H21N5O2S2
HMDB0014724,Diclofenac,295.016684015,C14H11Cl2NO2
HMDB0014725,Cinalukast,412.182063462,C23H28N2O3S
HMDB0014727,Lisuride,338.210661474,C20H26N4O
HMDB0014728,Doxazosin,451.185568935,C23H25N5O5
HMDB0014730,Piperazine,86.08439833,C4H10N2
HMDB0014731,Ethosuximide,141.078978601,C7H11NO2
HMDB0014732,Amiloride,229.04788562,C6H8ClN7O
HMDB0014733,Oxytetracycline,460.148180376,C22H24N2O9
HMDB0014734,Halobetasol Propionate,484.182808219,C25H31ClF2O5
HMDB0014735,Gadoteridol,559.12609,C17H29GdN4O7
HMDB0014736,Labetalol,328.178692644,C19H24N2O3
HMDB0014737,Thiopental,242.10889852,C11H18N2O2S
HMDB0014738,Monobenzone,200.083729628,C13H12O2
HMDB0014739,Linezolid,337.143784348,C16H20FN3O4
HMDB0014742,Cisapride,465.183062343,C23H29ClFN3O4
HMDB0014743,Sulindac,356.088243305,C20H17FO3S
HMDB0014744,Cyclothiazide,389.027075102,C14H16ClN3O4S2
HMDB0014745,Nafcillin,414.124942514,C21H22N2O5S
HMDB0014746,Chloroquine,319.181525554,C18H26ClN3
HMDB0014747,Ethionamide,166.05646902,C8H10N2S
HMDB0014748,Metaraminol,167.094628665,C9H13NO2
HMDB0014749,Butorphanol,327.219829177,C21H29NO2
HMDB0014750,Bisoprolol,325.225308485,C18H31NO4
HMDB0014751,Amodiaquine,355.145140048,C20H22ClN3O
HMDB0014752,Furazolidone,225.038570337,C8H7N3O5
HMDB0014753,Rifabutin,846.441508846,C46H62N4O11
HMDB0014754,Candoxatril,515.288302671,C29H41NO7
HMDB0014755,Paramethadione,157.073893223,C7H11NO3
HMDB0014756,Demeclocycline,464.098643365,C21H21ClN2O8
HMDB0014757,Imatinib,493.259008649,C29H31N7O
HMDB0014758,Triamcinolone,394.179166801,C21H27FO6
HMDB0014759,Oxandrolone,306.219494826,C19H30O3
HMDB0014760,Nicardipine,479.205635675,C26H29N3O6
HMDB0014761,Fluphenazine,437.174867774,C22H26F3N3OS
HMDB0014763,Efavirenz,315.027390859,C14H9ClF3NO2
HMDB0014764,Bacitracin,1421.748941023,C66H103N17O16S
HMDB0014766,Clorazepate,314.045819935,C16H11ClN2O3
HMDB0014767,Guanabenz,230.01260169,C8H8Cl2N4
HMDB0014769,Clofarabine,303.053445155,C10H11ClFN5O3
HMDB0014770,Docosanol,326.354866094,C22H46O
HMDB0014771,Dexmedetomidine,200.131348522,C13H16N2
HMDB0014772,Sulfacetamide,214.041212886,C8H10N2O3S
HMDB0014773,Prednisone,358.178023942,C21H26O5
HMDB0014774,Clofibrate,242.070972053,C12H15ClO3
HMDB0014775,Astemizole,458.248189839,C28H31FN4O
HMDB0014776,Inulin,6176.01785472,C228H382O191
HMDB0014777,Butoconazole,410.017802365,C19H17Cl3N2S
HMDB0014780,Pemetrexed,427.149183429,C20H21N5O6
HMDB0014781,Mebendazole,295.095691297,C16H13N3O3
HMDB0014782,Gonadorelin,1181.573025571,C55H75N17O13
HMDB0014783,Dyclonine,289.204179113,C18H27NO2
HMDB0014784,Nystatin,925.503499979,C47H75NO17
HMDB0014785,Propoxyphene,339.219829177,C22H29NO2
HMDB0014786,Mitotane,317.953661148,C14H10Cl4
HMDB0014787,Stavudine,224.079706882,C10H12N2O4
HMDB0014789,Dyphylline,254.101504956,C10H14N4O4
HMDB0014790,Pentazocine,285.209264491,C19H27NO
HMDB0014792,Latanoprost,432.28757439,C26H40O5
HMDB0014794,Trazodone,371.151288058,C19H22ClN5O
HMDB0014795,Mecamylamine,167.167399677,C11H21N
HMDB0014797,Acamprosate,181.040878535,C5H11NO4S
HMDB0014798,Metaxalone,221.105193351,C12H15NO3
HMDB0014800,Trimethobenzamide,388.199822016,C21H28N2O5
HMDB0014801,Flumethasone Pivalate,494.247995205,C27H36F2O6
HMDB0014802,Sulfametopyrazine,280.06301096,C11H12N4O3S
HMDB0014803,Nilutamide,317.062340438,C12H10F3N3O4
HMDB0014804,Nafarelin,1321.635625827,C66H83N17O13
HMDB0014808,Pirenzepine,351.169524941,C19H21N5O2
HMDB0014809,Cefixime,453.041289239,C16H15N5O7S2
HMDB0014810,Chlorpropamide,276.033540689,C10H13ClN2O3S
HMDB0014811,Aprepitant,534.150187993,C23H21F7N4O3
HMDB0014812,Galantamine,287.152143543,C17H21NO3
HMDB0014813,Tamoxifen,371.224914555,C26H29NO
HMDB0014814,Benzyl benzoate,212.083729628,C14H12O2
HMDB0014815,Isoflurophate,184.066459031,C6H14FO3P
HMDB0014816,Losartan,422.162187095,C22H23ClN6O
HMDB0014817,Thioridazine,370.153740222,C21H26N2S2
HMDB0014818,Moricizine,427.156576993,C22H25N3O4S
HMDB0014819,Amphotericin B,923.487849915,C47H73NO17
HMDB0014821,Midazolam,325.078203343,C18H13ClFN3
HMDB0014822,Tobramycin,467.259127807,C18H37N5O9
HMDB0014823,Trovafloxacin,416.109624981,C20H15F3N4O3
HMDB0014824,Pentosan Polysulfate,601.922340398,C10H18O21S4
HMDB0014825,Fludrocortisone,380.199902243,C21H29FO5
HMDB0014826,Mycophenolate mofetil,433.210052351,C23H31NO7
HMDB0014827,Cephaloglycin,405.099456045,C18H19N3O6S
HMDB0014828,Flurazepam,387.151368285,C21H23ClFN3O
HMDB0014829,Moexipril,498.236601452,C27H34N2O7
HMDB0014830,Phentolamine,281.152812245,C17H19N3O
HMDB0014831,Fluorescein,332.068473494,C20H12O5
HMDB0014832,Daunorubicin,527.179146153,C27H29NO10
HMDB0014834,Ergotamine,581.263819255,C33H35N5O5
HMDB0014835,Tizanidine,253.018893678,C9H8ClN5S
HMDB0014836,Nitrofurantoin,238.033819322,C8H6N4O5
HMDB0014837,Nicergoline,483.11575436,C24H26BrN3O3
HMDB0014838,Eplerenone,414.204238692,C24H30O6
HMDB0014839,Amprenavir,505.224656557,C25H35N3O6S
HMDB0014841,Methazolamide,236.003781522,C5H8N4O3S2
HMDB0014842,Naltrexone,341.162708229,C20H23NO4
HMDB0014843,Delavirdine,456.194359482,C22H28N6O3S
HMDB0014844,Tamsulosin,408.171892706,C20H28N2O5S
HMDB0014845,Porfimer,1674.831531666,C99H110N12O13
HMDB0014846,Sufentanil,386.202798904,C22H30N2O2S
HMDB0014847,Lamivudine,229.052111923,C8H11N3O3S
HMDB0014848,Ibandronate,319.094975119,C9H23NO7P2
HMDB0014849,Diethylcarbamazine,199.168462309,C10H21N3O
HMDB0014850,Flurbiprofen,244.089957865,C15H13FO2
HMDB0014851,Oxacillin,401.104541423,C19H19N3O5S
HMDB0014852,Apomorphine,267.125928793,C17H17NO2
HMDB0014853,Paroxetine,329.142721716,C19H20FNO3
HMDB0014854,Nedocromil,371.100501903,C19H17NO7
HMDB0014855,Norethindrone,298.193280076,C20H26O2
HMDB0014856,Adefovir Dipivoxil,501.198849537,C20H32N5O8P
HMDB0014857,Azatadine,290.178298714,C20H22N2
HMDB0014858,Clodronate,243.886016298,CH4Cl2O6P2
HMDB0014859,Procaine,236.152477894,C13H20N2O2
HMDB0014861,Methoxamine,211.120843415,C11H17NO3
HMDB0014862,Imiquimod,240.137496532,C14H16N4
HMDB0014864,Trimipramine,294.209598842,C20H26N2
HMDB0014865,Nitroglycerin,227.002578773,C3H5N3O9
HMDB0014866,Rocuronium,529.400533194,C32H53N2O4
HMDB0014868,Thiabendazole,201.036067929,C10H7N3S
HMDB0014869,Nateglinide,317.199093735,C19H27NO3
HMDB0014870,Atracurium,928.508525778,C53H72N2O12
HMDB0014871,Pralidoxime,137.07148792,C7H9N2O
HMDB0014873,Naftifine,287.167399677,C21H21N
HMDB0014875,Meclizine,390.186276581,C25H27ClN2
HMDB0014876,Pentamidine,340.189926032,C19H24N4O2
HMDB0014877,Hetacillin,389.140926929,C19H23N3O4S
HMDB0014878,Riluzole,234.007468097,C8H5F3N2OS
HMDB0014882,Zileuton,236.061948328,C11H12N2O2S
HMDB0014883,Modafinil,273.082349419,C15H15NO2S
HMDB0014884,Deferoxamine,560.353362542,C25H48N6O8
HMDB0014886,Carbinoxamine,290.118590947,C16H19ClN2O
HMDB0014887,Etodolac,287.152143543,C17H21NO3
HMDB0014888,Prilocaine,220.157563272,C13H20N2O
HMDB0014889,Epinastine,249.126597495,C16H15N3
HMDB0014890,Tranylcypromine,133.089149357,C9H11N
HMDB0014891,Isoflurane,183.971433418,C3H2ClF5O
HMDB0014892,Ethotoin,204.089877638,C11H12N2O2
HMDB0014894,Hexachlorophene,403.849895678,C13H6Cl6O2
HMDB0014895,Dolasetron,324.147392516,C19H20N2O3
HMDB0014897,Tetracycline,444.153265754,C22H24N2O8
HMDB0014898,Meropenem,383.151491615,C17H25N3O5S
HMDB0014900,Irinotecan,586.279134968,C33H38N4O6
HMDB0014901,Methimazole,114.025168892,C4H6N2S
HMDB0014902,Mometasone,426.136464798,C22H28Cl2O4
HMDB0014903,Metyrosine,195.089543287,C10H13NO3
HMDB0014904,Clavulanate,199.048072403,C8H9NO5
HMDB0014905,Benzquinamide,404.231122144,C22H32N2O5
HMDB0014906,Olopatadine,337.167793607,C21H23NO3
HMDB0014907,Hydrocortamate,475.293388049,C27H41NO6
HMDB0014909,Clidinium,352.191268703,C22H26NO3
HMDB0014910,Malathion,330.036066232,C10H19O6PS2
HMDB0014911,Etoposide,588.18429111,C29H32O13
HMDB0014912,Hydroflumethiazide,330.990831754,C8H8F3N3O4S2
HMDB0014913,Tirofiban,440.234492962,C22H36N2O5S
HMDB0014914,Oxcarbazepine,252.089877638,C15H12N2O2
HMDB0014915,Propiomazine,340.16093409,C20H24N2OS
HMDB0014916,Roxithromycin,836.524569772,C41H76N2O15
HMDB0014917,Nalidixic Acid,232.08479226,C12H12N2O3
HMDB0014918,Phenelzine,136.100048394,C8H12N2
HMDB0014919,Polymyxin B Sulfate,1202.749927302,C56H98N16O13
HMDB0014920,Propantheline,368.222568831,C23H30NO3
HMDB0014922,Mefenamic acid,241.110278729,C15H15NO2
HMDB0014924,Marimastat,331.210721053,C15H29N3O5
HMDB0014925,Aciclovir,225.086189243,C8H11N5O3
HMDB0014928,Perindopril,368.231122144,C19H32N2O5
HMDB0014929,Uracil mustard,251.022832025,C8H11Cl2N3O2
HMDB0014930,Tripelennamine,255.173547687,C16H21N3
HMDB0014931,Haloprogin,359.837241291,C9H4Cl3IO
HMDB0014932,Primidone,218.105527702,C12H14N2O2
HMDB0014933,Sulfasalazine,398.068490268,C18H14N4O5S
HMDB0014934,Candesartan,440.159688536,C24H20N6O3
HMDB0014935,Tolazoline,160.100048394,C10H12N2
HMDB0014936,Gentamicin,477.316248755,C21H43N5O7
HMDB0014937,Tazarotene,351.129299611,C21H21NO2S
HMDB0014938,Fenoldopam,305.08187109,C16H16ClNO3
HMDB0014939,Halazepam,352.059025338,C17H12ClF3N2O
HMDB0014940,Alfentanil,416.25358892,C21H32N6O3
HMDB0014941,Colistin,1154.749927302,C52H98N16O13
HMDB0014942,Dicyclomine,309.266779369,C19H35NO2
HMDB0014943,Minaprine,298.179361346,C17H22N4O
HMDB0014944,Pentoxifylline,278.137890462,C13H18N4O3
HMDB0014945,Proparacaine,294.194342708,C16H26N2O3
HMDB0014946,Indapamide,365.06008979,C16H16ClN3O3S
HMDB0014947,Tropicamide,284.152477894,C17H20N2O2
HMDB0014948,Biperiden,311.224914555,C21H29NO
HMDB0014949,Ribavirin,244.080769514,C8H12N4O5
HMDB0014950,Phenylbutazone,308.152477894,C19H20N2O2
HMDB0014951,Fentanyl,336.220163528,C22H28N2O
HMDB0014952,Meloxicam,351.034747299,C14H13N3O4S2
HMDB0014954,Orciprenaline,211.120843415,C11H17NO3
HMDB0014955,Rosoxacin,294.100442324,C17H14N2O3
HMDB0014956,Propofol,178.135765198,C12H18O
HMDB0014957,Acetazolamide,221.988131458,C4H6N4O3S2
HMDB0014958,Tadalafil,389.137556111,C22H19N3O4
HMDB0014959,Carprofen,273.05565634,C15H12ClNO2
HMDB0014960,Disulfiram,296.05093141,C10H20N2S4
HMDB0014961,Ethynodiol Diacetate,384.230059512,C24H32O4
HMDB0014962,Enprofylline,194.080375584,C8H10N4O2
HMDB0014964,Natamycin,665.304740595,C33H47NO13
HMDB0014965,Cinoxacin,262.05897144,C12H10N2O5
HMDB0014966,Fosfomycin,138.008195224,C3H7O4P
HMDB0014967,Diazepam,284.071640755,C16H13ClN2O
HMDB0014968,Phenmetrazine,177.115364107,C11H15NO
HMDB0014969,Trifluoperazine,407.164303088,C21H24F3N3S
HMDB0014970,Phensuximide,189.078978601,C11H11NO2
HMDB0014971,Cefaclor,367.039354348,C15H14ClN3O4S
HMDB0014972,Mifepristone,429.266779369,C29H35NO2
HMDB0014975,Progabide,334.088433678,C17H16ClFN2O2
HMDB0014976,Clocortolone,410.166015296,C22H28ClFO4
HMDB0014977,Tolazamide,311.130362243,C14H21N3O3S
HMDB0014979,Dobutamine,301.167793607,C18H23NO3
HMDB0014980,Oxazepam,286.050905313,C15H11ClN2O2
HMDB0014982,Nalbuphine,357.194008357,C21H27NO4
HMDB0014983,Clofazimine,472.122152138,C27H22Cl2N4
HMDB0014984,Flurandrenolide,436.226116993,C24H33FO6
HMDB0014986,Levamisole,204.072119084,C11H12N2S
HMDB0014987,Methylphenobarbital,246.100442324,C13H14N2O3
HMDB0014988,Perphenazine,403.148510866,C21H26ClN3OS
HMDB0014989,Dacarbazine,182.091608972,C6H10N6O
HMDB0014991,Temozolomide,194.055223466,C6H6N6O2
HMDB0014992,Levorphanol,257.177964363,C17H23NO
HMDB0014994,Chlorphenesin,202.039671925,C9H11ClO3
HMDB0014995,Terbinafine,291.198699805,C21H25N
HMDB0014996,Drostanolone,304.240230268,C20H32O2
HMDB0014997,Penicillamine,149.051049291,C5H11NO2S
HMDB0014998,Prednisolone,360.193674006,C21H28O5
HMDB0014999,Diflunisal,250.044150532,C13H8F2O3
HMDB0015000,Vardenafil,488.220574232,C23H32N6O4S
HMDB0015002,Tacrolimus,803.481976677,C44H69NO12
HMDB0015003,Benzphetamine,239.167399677,C17H21N
HMDB0015004,Alprenolol,249.172878985,C15H23NO2
HMDB0015005,Ritodrine,287.152143543,C17H21NO3
HMDB0015006,Benzonatate,603.361861543,C30H53NO11
HMDB0015007,Dorzolamide,324.02721908,C10H16N2O4S3
HMDB0015008,Suprofen,260.05071494,C14H12O3S
HMDB0015009,Terbutaline,225.136493479,C12H19NO3
HMDB0015010,Conivaptan,498.205576096,C32H26N4O2
HMDB0015011,Loteprednol,394.154701681,C21H27ClO5
HMDB0015013,Flupenthixol,436.179618801,C23H27F3N2OS
HMDB0015014,Eprosartan,424.145677956,C23H24N2O4S
HMDB0015015,Sirolimus,913.555141608,C51H79NO13
HMDB0015016,Chlorhexidine,504.203196424,C22H30Cl2N10
HMDB0015017,Emtricitabine,247.042690096,C8H10FN3O3S
HMDB0015018,Chlorothiazide,294.948824782,C7H6ClN3O4S2
HMDB0015019,Quinapril,438.21547208,C25H30N2O5
HMDB0015020,Clomifene,405.18594223,C26H28ClNO
HMDB0015021,Isosorbide Dinitrate,236.028065242,C6H8N2O8
HMDB0015022,Risedronate,283.001074735,C7H11NO7P2
HMDB0015023,Pemirolast,228.075958908,C10H8N6O
HMDB0015024,Bumetanide,364.10929245,C17H20N2O5S
HMDB0015025,Mechlorethamine,155.026854771,C5H11Cl2N
HMDB0015026,Granisetron,312.19501141,C18H24N4O
HMDB0015027,Dienestrol,266.13067982,C18H18O2
HMDB0015028,Sulfapyridine,249.057197301,C11H11N3O2S
HMDB0015029,Oxybuprocaine,308.209992772,C17H28N2O3
HMDB0015031,Testolactone,300.172544634,C19H24O3
HMDB0015033,Rimexolone,370.250794954,C24H34O3
HMDB0015034,Triazolam,342.043901818,C17H12Cl2N4
HMDB0015036,Remifentanil,376.199822016,C20H28N2O5
HMDB0015037,Didanosine,236.09094027,C10H12N4O3
HMDB0015038,Methdilazine,296.13471934,C18H20N2S
HMDB0015039,Ethacrynic acid,302.011264286,C13H12Cl2O4
HMDB0015041,Bimatoprost,415.272258677,C25H37NO4
HMDB0015042,Tiagabine,375.132670429,C20H25NO2S2
HMDB0015043,Cocaine,303.147058165,C17H21NO4
HMDB0015044,Quinidine,324.183778022,C20H24N2O2
HMDB0015045,Zonisamide,212.025562822,C8H8N2O3S
HMDB0015046,Paricalcitol,416.329045274,C27H44O3
HMDB0015047,Tinidazole,247.062676609,C8H13N3O4S
HMDB0015048,Repaglinide,452.26750765,C27H36N2O4
HMDB0015049,Anileridine,352.21507815,C22H28N2O2
HMDB0015050,Phenformin,205.132745505,C10H15N5
HMDB0015051,Amantadine,151.136099549,C10H17N
HMDB0015052,Metronidazole,171.064391169,C6H9N3O3
HMDB0015054,Almotriptan,335.166747749,C17H25N3O2S
HMDB0015055,Spectinomycin,332.158351132,C14H24N2O7
HMDB0015056,Ketotifen,309.118734925,C19H19NOS
HMDB0015057,Buprenorphine,467.303558805,C29H41NO4
HMDB0015058,Levosimendan,280.107259036,C14H12N6O
HMDB0015059,Ceforanide,519.099472819,C20H21N7O6S2
HMDB0015060,Cyclobenzaprine,275.167399677,C20H21N
HMDB0015061,Phenoxybenzamine,303.138992038,C18H22ClNO
HMDB0015063,Azacitidine,244.080769514,C8H12N4O5
HMDB0015064,Misoprostol,382.271924326,C22H38O5
HMDB0015066,Methacycline,442.13761569,C22H22N2O8
HMDB0015067,Tipranavir,602.206227481,C31H33F3N2O5S
HMDB0015068,Mesoridazine,386.148654844,C21H26N2OS2
HMDB0015069,Maprotiline,277.183049741,C20H23N
HMDB0015070,Oxymetazoline,260.1888634,C16H24N2O
HMDB0015072,Diethylpropion,205.146664235,C13H19NO
HMDB0015073,Salmeterol,415.272258677,C25H37NO4
HMDB0015074,Meclofenamic acid,295.016684015,C14H11Cl2NO2
HMDB0015075,Methantheline,340.191268703,C21H26NO3
HMDB0015077,Cycrimine,287.224914555,C19H29NO
HMDB0015078,Zalcitabine,211.095691297,C9H13N3O3
HMDB0015079,Demecarium,556.398856172,C32H52N4O4
HMDB0015081,Phenprocoumon,280.109944378,C18H16O3
HMDB0015082,Fulvestrant,606.316607085,C32H47F5O3S
HMDB0015083,Mezlocillin,539.114454181,C21H25N5O8S2
HMDB0015084,Felbamate,238.095356946,C11H14N2O4
HMDB0015086,Isoniazid,137.058911861,C6H7N3O
HMDB0015087,Naratriptan,335.166747749,C17H25N3O2S
HMDB0015088,Rizatriptan,269.164045633,C15H19N5
HMDB0015089,Dirithromycin,834.545305214,C42H78N2O14
HMDB0015090,Netilmicin,475.300598691,C21H41N5O7
HMDB0015091,Hydrocodone,299.152143543,C18H21NO3
HMDB0015092,Norgestimate,369.230393863,C23H31NO3
HMDB0015093,Carboplatin,371.044481331,C6H12N2O4Pt
HMDB0015094,Methylprednisolone,374.20932407,C22H30O5
HMDB0015095,Pindolol,248.152477894,C14H20N2O2
HMDB0015096,Mepivacaine,246.173213336,C15H22N2O
HMDB0015097,Zaleplon,305.127660127,C17H15N5O
HMDB0015098,Bromfenac,333.000055902,C15H12BrNO3
HMDB0015099,Apraclonidine,244.028251754,C9H10Cl2N4
HMDB0015101,Telmisartan,514.236876224,C33H30N4O2
HMDB0015102,Desloratadine,310.123676325,C19H19ClN2
HMDB0015104,Alosetron,294.148061218,C17H18N4O
HMDB0015105,Dactinomycin,1254.628474764,C62H86N12O16
HMDB0015106,Selenium Sulfide,111.888592518,SSe
HMDB0015107,Azelastine,381.160790112,C22H24ClN3O
HMDB0015108,Ezetimibe,409.148949953,C24H21F2NO3
HMDB0015109,Edetic Acid,292.090665498,C10H16N2O8
HMDB0015110,Dipyridamole,504.317251808,C24H40N8O4
HMDB0015111,Telithromycin,811.473143325,C43H65N5O10
HMDB0015113,Lomefloxacin,351.139447899,C17H19F2N3O3
HMDB0015114,Cyclopentolate,291.183443671,C17H25NO3
HMDB0015115,Ramelteon,259.157228921,C16H21NO2
HMDB0015116,Physostigmine,275.163376931,C15H21N3O2
HMDB0015118,Formoterol,344.173607266,C19H24N2O4
HMDB0015119,Nandrolone phenpropionate,406.250794954,C27H34O3
HMDB0015121,Glycopyrrolate,318.206918767,C19H28NO3
HMDB0015122,Cytarabine,243.085520541,C9H13N3O5
HMDB0015124,Rivastigmine,250.168127958,C14H22N2O2
HMDB0015125,Exemestane,296.177630012,C20H24O2
HMDB0015126,Oxaprozin,293.105193351,C18H15NO3
HMDB0015127,Methyl aminolevulinate,145.073893223,C6H11NO3
HMDB0015128,Azathioprine,277.038193193,C9H7N7O2S
HMDB0015129,Neomycin,614.312285588,C23H46N6O13
HMDB0015130,Auranofin,678.132685,C20H34AuO9PS
HMDB0015132,Doxorubicin,543.174060775,C27H29NO11
HMDB0015133,Frovatriptan,243.137162181,C14H17N3O
HMDB0015135,Cyclacillin,341.140926929,C15H23N3O4S
HMDB0015137,Levobupivacaine,288.220163528,C18H28N2O
HMDB0015138,Cromoglicic acid,468.069261354,C23H16O11
HMDB0015139,Ganciclovir,255.096753929,C9H13N5O4
HMDB0015140,Hydroxyurea,76.027277382,CH4N2O2
HMDB0015141,Letrozole,285.101445377,C17H11N5
HMDB0015142,Tioconazole,385.981416859,C16H13Cl3N2OS
HMDB0015143,Busulfan,246.02317956,C6H14O6S2
HMDB0015144,Ketoprofen,254.094294314,C16H14O3
HMDB0015145,Edrophonium,166.123189139,C10H16NO
HMDB0015146,Metyrapone,226.11061308,C14H14N2O
HMDB0015147,Cinacalcet,357.170434324,C22H22F3N
HMDB0015148,Clobetasol,410.166015296,C22H28ClFO4
HMDB0015149,Balsalazide,357.096085227,C17H15N3O6
HMDB0015150,Sulfamethoxazole,253.052111923,C10H11N3O3S
HMDB0015151,Glyburide,493.143819418,C23H28ClN3O5S
HMDB0015152,Minocycline,457.184900233,C23H27N3O7
HMDB0015153,Guanfacine,245.012267339,C9H9Cl2N3O
HMDB0015154,Bethanechol,161.129002798,C7H17N2O2
HMDB0015155,Isosorbide Mononitrate,191.042987025,C6H9NO6
HMDB0015156,Trichlormethiazide,378.90218026,C8H8Cl3N3O4S2
HMDB0015158,Felodipine,383.069113515,C18H19Cl2NO4
HMDB0015159,Mycophenolic acid,320.125988372,C17H20O6
HMDB0015160,Amlexanox,298.095356946,C16H14N2O4
HMDB0015162,Methoxyflurane,163.960726574,C3H4Cl2F2O
HMDB0015163,Irbesartan,428.232459548,C25H28N6O
HMDB0015164,Topotecan,421.163770861,C23H23N3O5
HMDB0015165,Ethinamate,167.094628665,C9H13NO2
HMDB0015166,Probenecid,285.103478791,C13H19NO4S
HMDB0015167,Mercaptopurine,152.015666838,C5H4N4S
HMDB0015168,Cerulenin,223.120843415,C12H17NO3
HMDB0015169,Procainamide,235.168462309,C13H21N3O
HMDB0015170,Tolterodine,325.240564619,C22H31NO
HMDB0015171,Selegiline,187.136099549,C13H17N
HMDB0015172,Carphenazine,411.198047877,C23H29N3O2S
HMDB0015173,Fenofibrate,360.112836867,C20H21ClO4
HMDB0015175,Thalidomide,258.064056818,C13H10N2O4
HMDB0015176,Melphalan,304.074533244,C13H18Cl2N2O2
HMDB0015177,Memantine,179.167399677,C12H21N
HMDB0015178,Gatifloxacin,375.159434412,C19H22FN3O4
HMDB0015179,Rifampin,822.40512334,C43H58N4O12
HMDB0015180,Lubiprostone,390.221780544,C20H32F2O5
HMDB0015181,Fluocinonide,494.211609788,C26H32F2O7
HMDB0015182,Abacavir,286.154209228,C14H18N6O
HMDB0015185,Novobiocin,612.231910004,C31H36N2O11
HMDB0015186,Penicillin G,334.098727764,C16H18N2O4S
HMDB0015187,Nitrendipine,360.132136382,C18H20N2O6
HMDB0015188,Mimosine,198.064056818,C8H10N2O4
HMDB0015189,Tocainide,192.126263144,C11H16N2O
HMDB0015190,Echothiophate,256.113625809,C9H23NO3PS
HMDB0015191,Praziquantel,312.183778022,C19H24N2O2
HMDB0015192,Norfloxacin,319.133219662,C16H18FN3O3
HMDB0015193,Amoxicillin,365.104541423,C16H19N3O5S
HMDB0015194,Azlocillin,461.136904183,C20H23N5O6S
HMDB0015195,Oxybutynin,357.230393863,C22H31NO3
HMDB0015196,Acetophenazine,411.198047877,C23H29N3O2S
HMDB0015197,Isoproterenol,211.120843415,C11H17NO3
HMDB0015199,Cefditoren,506.050079786,C19H18N6O5S3
HMDB0015200,Glipizide,445.178375067,C21H27N5O4S
HMDB0015201,Clonazepam,315.041068908,C15H10ClN3O3
HMDB0015202,Promethazine,284.13471934,C17H20N2S
HMDB0015203,Dihydrotachysterol,398.354866094,C28H46O
HMDB0015204,Mequitazine,322.150369404,C20H22N2S
HMDB0015205,Atazanavir,704.389748048,C38H52N6O7
HMDB0015206,Fludarabine,365.053662512,C10H13FN5O7P
HMDB0015207,Perhexiline,277.276950125,C19H35N
HMDB0015210,Etidronic acid,205.974526594,C2H8O7P2
HMDB0015211,Deslanoside,942.482430186,C47H74O19
HMDB0015212,Vigabatrin,129.078978601,C6H11NO2
HMDB0015213,Diphenoxylate,452.246378278,C30H32N2O2
HMDB0015214,Streptomycin,581.265669747,C21H39N7O12
HMDB0015215,Orlistat,495.392373811,C29H53NO5
HMDB0015216,Emedastine,302.210661474,C17H26N4O
HMDB0015217,Pilocarpine,208.121177766,C11H16N2O2
HMDB0015219,Primaquine,259.168462309,C15H21N3O
HMDB0015220,Iloprost,478.271924326,C30H38O5
HMDB0015221,Deserpidine,578.262816202,C32H38N2O8
HMDB0015222,Pentolinium,240.256549034,C15H32N2
HMDB0015223,Butenafine,317.214349869,C23H27N
HMDB0015224,Ouabain,584.283276872,C29H44O12
HMDB0015227,Fluvastatin,411.18458653,C24H26FNO4
HMDB0015228,Oxamniquine,279.158291553,C14H21N3O3
HMDB0015229,Leflunomide,270.061612157,C12H9F3N2O2
HMDB0015230,Rosuvastatin,481.168284538,C22H28FN3O6S
HMDB0015231,Flucytosine,129.03383997,C4H4FN3O
