
ID,IGF.1_1_Met_PB_06.12.20,IGF.1_2_1_Met_PB_06.12.20,IGF.1_3_1_Met_PB_06.12.20,Rapamycin_1_Met_PB_06.12.20,Rapamycin_2_1_Met_PB_06.12.20,Rapamycin_3_1_Met_PB_06.12.20,QC1_wdh,QC2,V_Control_1_Met,V_Control_2_1_Met,V_Control_3_1_Met
ID1023,4.29708360324451,,,,,4.69725215636605,,4.19178205731023,4.6617736936785,4.05289221745719,4.15137755800344
ID1024,4.18493664724275,4.25075767174202,4.21897838210675,3.96733001731043,4.05964180067948,,4.13123321431625,4.07652650193208,4.13885381296976,4.13910205689904,4.21870549637919
ID1025,5.37150471102214,5.39232634038905,5.38346744673112,5.47989765833872,5.52025014901143,,5.47362737854791,5.44626646799747,5.40497704761744,5.43418517496154,5.47153954937507
ID1026,,4.27368014546602,4.12940673096675,4.19755262879709,4.15838521848725,,4.19829476481655,4.16155854630015,,,
ID1027,4.81493204795114,4.84748033493259,4.82342634204946,,,,4.84372981237257,,,4.79426726418011,4.85525560834143
ID1028,4.45071333252126,4.84626279262733,4.6504007379738,4.37014981697251,4.57850188474019,,4.5530965068477,4.54430815828193,,4.4480791961082,4.65036178452032
ID1029,4.6394638257919,4.66982844457434,4.85160983606812,4.88227892531626,4.8965517108629,4.7143974255802,4.82802938922022,4.82504927559968,4.70633574534033,4.98847636209763,4.94946950477522
ID1030,5.05448428512854,5.47455066373841,5.23121362004109,5.05355906983922,5.19858764395,4.91433700509247,5.10731868362605,5.12455550315818,4.89615106076784,5.0317667278578,5.18703594934652
ID1031,4.11756076617192,4.13870981623298,4.29698468336603,4.34528144872103,4.3287849328415,4.13614953110512,4.27511589949189,4.25320284811367,4.14352458508683,4.43143310949162,4.34986522747944
ID1032,4.70519580705291,5.12593234161708,4.89137586677206,4.75717923107199,4.8751855521822,,4.78353326857376,4.80299594659523,,4.72133746391036,4.8572988719452
ID1033,5.76881923622031,5.91008656276003,5.81214125413677,5.28656712863233,5.39073369200201,5.30643522240557,5.64806638405745,5.63509859771726,5.69432191038884,5.61028761998135,5.64077746856443
ID1034,,5.41447245552401,,5.11586337168683,5.204190962215,,,,,,
ID1035,5.90303987515794,5.87771302647906,5.8972448790405,5.23310715726395,5.34482968662699,5.29423105476487,5.77633750480035,5.75898228291891,5.63392673508758,5.69247421144198,5.71892871226984
ID1036,5.52132901585488,5.52258148472876,5.54987632779756,4.91763437236855,5.00854062994066,4.96355194075344,5.44482480043885,5.4229921024312,5.31412879505234,5.35927034744968,5.3735284206692
ID1037,5.44313000136845,5.55770081444514,5.4489780263144,4.9576790530267,5.05476148503257,4.98109491875507,5.32426340047603,5.29995307552781,5.35473996692337,5.2561548527541,5.29305784374138
ID1038,5.96884160206948,6.05266954958667,6.04120603211989,5.46817891416411,5.62483713173411,5.59163065158676,5.99656929998713,5.97301189241698,5.81382032306101,5.86794870365975,5.91828539772914
ID1039,5.93260221037018,6.1582067354899,6.03893912584869,5.55183625767263,5.70471337918055,5.58410054242893,5.90167426380092,5.91703912751658,5.89629700105525,5.77220597576429,5.88807212491138
ID1040,5.54290258937005,5.77065102838576,5.65320645619434,5.20265797708859,5.33626978298877,5.22992404606902,5.54086340413916,5.53518085066651,5.52911477362223,5.41841539867883,5.51610194882211
ID1041,5.60284404650446,5.65994805147105,5.7232871618121,5.23657735901749,5.27875539234689,5.33561702784922,5.61418660061546,5.60630189161377,5.51616320374199,5.49404976451969,5.59486295539278
ID1042,5.3920448818405,5.3724454699566,5.30254115653589,5.39393202096656,5.25337086278394,5.35139421412457,5.3682202568321,5.31786211660929,5.21187128990213,,5.2271285997942
ID1043,5.15371927610635,5.38133807050209,5.23686051885735,4.90996992592124,5.01667448148179,4.94254940730808,5.17845374585341,5.16645445191605,5.13510972685997,5.04405806177762,5.17943900817193
ID1044,5.07687350010177,5.02617936349583,4.97951492206079,,4.92391959079422,,5.01013634022283,4.97151102314606,,,4.90301158774129
ID1045,5.34435377793904,5.52700992260845,5.61105244183544,,5.04602069796818,,5.46118583488653,5.45909792488767,5.19992090461287,5.11929217120246,5.41745760688899
ID1046,4.51495296813001,4.46886832787372,4.40867459255746,,4.42376952918414,,4.43824565626847,4.40478592655677,,,4.36782230459819
ID1047,4.95858050109858,5.16685514177193,5.25601328743098,4.732839057774,,4.80013440715655,5.10479063614275,5.09685190193212,4.90017836715202,4.77470615156791,5.07779113047487
ID1048,4.73880720712613,4.90621099086545,4.94566138681172,4.95471042634157,4.7568063718452,,4.89875223465642,4.87709644838373,5.06790110929417,,5.13378942343819
