ID,General|All|ID,General|All|rtmed,General|All|mzmed,General|All|annot_ms1,General|All|annot_ms2,General|Extended|mzmin,General|Extended|mzmax,General|Extended|rtmin,General|Extended|rtmax,General|Extended|npeaks,General|Extended|peakidx,General|Extended|ms2spectrum,General|Extended|purity,PCA|All|PC1 (41.6%),PCA|All|PC2 (18.2%),PCA|All|PC3 (9.3%),PCA|All|PC4 (7%),PCA|All|PC5 (6.1%),PCA|All|PC6 (4.5%),Stats|Mean|IGF,Stats|N value|IGF,Stats|Quantile|IGF,Stats|Mean|Rapamycin,Stats|N value|Rapamycin,Stats|Quantile|Rapamycin,Stats|Mean|Control,Stats|N value|Control,Stats|Quantile|Control,ttest|IGF_vs_Rapamycin|pvalue,ttest|IGF_vs_Rapamycin|log.pvalue,ttest|IGF_vs_Rapamycin|fdr,ttest|IGF_vs_Rapamycin|log.fdr,ttest|IGF_vs_Rapamycin|mean.diff,ttest|IGF_vs_Control|pvalue,ttest|IGF_vs_Control|log.pvalue,ttest|IGF_vs_Control|fdr,ttest|IGF_vs_Control|log.fdr,ttest|IGF_vs_Control|mean.diff,ttest|Control_vs_Rapamycin|pvalue,ttest|Control_vs_Rapamycin|log.pvalue,ttest|Control_vs_Rapamycin|fdr,ttest|Control_vs_Rapamycin|log.fdr,ttest|Control_vs_Rapamycin|mean.diff
ID734,FT0734,509.710077142097,580.026833693566,"{[6-({2-[3,5-dihydroxy-4-(sulfooxy)phenyl]-7-hydroxy-5-oxo-5",,580.026157790316,580.029312342362,506.896721674903,510.913380380581,7,728;2119;3636;8090;10549;11746;12972,,0.0,-0.0600162461137316,0.0021704657775266,0.0245946850164744,-0.0091402658275359,0.0318832600872602,0.0692710702703007,4.56844013466531,3,0.474673202614379,3.67760593577143,0,0.0375816993464052,4.05396970331573,3,0.149509803921569,0.0001379700938966,3.86021504014362,0.0017111136387388,2.76672114707002,0.890834198893874,0.0039695271972247,2.40126121813976,0.0416972943847606,1.37989212420826,0.514470431349579,0.0032538523580839,2.48760215684603,0.0277171219115618,1.55725186795707,0.376363767544295
ID739,FT0739,409.975650861126,581.060430305529,"[2,6-dihydroxy-4-(7-methyl-11-oxo-4-{[3,4,5-trihydroxy-6-(hy",,581.058618357899,581.06166034782,409.451644080737,410.678761059845,11,734;2123;3642;4919;5976;7001;8095;9325;10554;11751;12977,,0.0,-0.037227915063555,0.0238295665895579,-0.0017231967213079,0.001817929498054,-0.0188911956237615,-0.0059585336072151,4.73699936131938,3,0.580882352941177,4.20960289949446,3,0.344771241830065,4.6312215654184,3,0.552287581699346,0.0003121837830275,3.50558966092957,0.0030203008303463,2.51994979795256,0.527396461824918,0.103284803861613,0.985963570876493,0.305804027119677,0.51455679968126,0.105777795900978,0.0030482186556073,2.51595388329119,0.0265467997842815,1.57598782561063,0.42161866592394
ID740,FT0740,501.423155875687,581.060057835838,"[2,6-dihydroxy-4-(7-methyl-11-oxo-4-{[3,4,5-trihydroxy-6-(hy",,581.035821901178,581.084293770497,497.257071539112,505.589240212263,2,2124;9326,225.0495;253.0425;581.0901|90;43;96,1.0,-0.0130565731327366,-0.0134231082892241,-0.0060701130117306,-0.0126949004382792,0.0083888629344539,-0.0266261378429641,3.90194814469524,1,0.0629084967320261,3.75399101102724,0,0.0800653594771242,3.75399101102724,0,0.0269607843137255,0.373900966300059,0.427243412464819,0.484179615133447,0.314993499118616,0.147957133667993,0.373900966300059,0.427243412464819,0.537705199155324,0.269455764241587,0.147957133667993,,,,,
ID741,FT0741,44.3855360801404,581.337057237285,"(2R,3R,4S,5R,6R)-2-[[7-[(2R,3R,4R,5S)-3,4-dihydroxy-5-(hydro",,581.330177096319,581.341456077161,42.7965903237448,45.2697034974338,11,735;2125;3643;4920;5977;7002;8096;9327;10555;11752;12978,,0.0,-0.0030722503099759,0.0119767774994647,-0.0267313541019015,-0.0134750551203919,-0.0293094103577049,0.0235852735961488,5.07152780549763,3,0.73202614379085,5.05639020966962,3,0.791666666666667,5.16094374761523,3,0.786764705882353,0.895178276619344,0.048090465419405,0.918072861699123,0.0371228501950895,0.0151375958280031,0.613050570209471,0.212503699287351,0.742494457150704,0.129306784081926,-0.089415942117606,0.51967044268425,0.284271983858643,0.692690945340826,0.159460489300098,0.104553537945609
ID742,FT0742,268.806378862912,581.363678736988,"endo-1,4-beta-Xylanase",,581.361835444621,581.364636248984,266.951091947508,271.810016784328,11,736;2126;3644;4921;5978;7003;8097;9328;10556;11753;12979,,0.0,-0.0090165740994679,0.0152431974751894,-0.0106581583313391,0.0094703332205806,0.0183851684617381,0.0279294184483652,4.82440982827254,3,0.629901960784314,4.70580294306089,3,0.65359477124183,4.87657851779186,3,0.685457516339869,0.239816692392094,0.620120591206005,0.369013820318781,0.432957368323898,0.118606885211657,0.445743380658731,0.350915097428507,0.602302017713363,0.220185681939312,-0.0521686895193145,0.100048631081165,0.999788849236301,0.269372408798401,0.569646890128486,0.170775574730971
ID743,FT0743,268.170113257422,582.375365251659,,,582.373885600387,582.376173316214,265.63953693352,270.500146493521,11,740;2129;3648;4922;5980;7004;8099;9331;10558;11756;12982,59.01421;78.95873;152.9953;168.0434;224.0684;242.0793;281.2478;282.2511;282.3989;283.2633;507.3282;508.3401;582.3755|4550;1280;1404;1551;10555;2451;2829;3021;584;133509;696;85478;2602,1.0,0.0145361546898429,0.0181903760899126,-0.0346268208053036,0.0098853926987395,0.0250232934001972,0.0047848530281313,5.06931104634059,3,0.730392156862745,5.31289829192227,3,0.86437908496732,5.38633615008393,3,0.85702614379085,0.0394132662170927,1.40435757322163,0.103978419427988,0.98305678854622,-0.243587245581674,0.0119545963941106,1.9224650817623,0.085959240738605,1.06570742920305,-0.31702510374334,0.444847177864388,0.35178916027569,0.630785730945007,0.20011813944259,0.0734378581616664
ID744,FT0744,43.9970394535941,582.335543412827,"LysoPC(20:2(11Z,14Z));Phosphatidylcholine lyso 20",,582.326112189659,582.341327342127,43.6231704758582,44.8828109737925,8,739;2130;3647;5979;8098;9330;10557;12981,,0.0,-0.0304189744465809,-0.0039826223213027,-0.03482368355472,0.0556165457766691,0.019690269330406,-0.0024516515573737,4.45120274436464,3,0.393790849673203,4.12818983649831,1,0.295751633986928,4.260360857994,2,0.303104575163399,0.179756879688379,0.745314479228671,0.294214321449143,0.531336190973021,0.323012907866329,0.399399970692173,0.398591971333689,0.561670738761519,0.250518200879818,0.190841886370642,0.626698543410637,0.2029413146976,0.770601756557925,0.113170005363837,0.132171021495687
ID745,FT0745,415.401988183971,583.092276495566,"Neobetanin;{5-[(1E)-3-[(6-{[3,4-dihydroxy-2,5-bis(hydroxymet",,583.08691955463,583.095062046534,414.949246183907,416.159147377948,10,741;2131;3649;4923;5981;8100;9332;10560;11757;12983,74.02429;116.0454;141.0163;198.0508;255.0823;280.0518;337.0848;362.0532;419.0951;501.0945|93;309;48;581;637;126;79;69;67;36,1.0,-0.0178262180366042,0.0283720798634493,-0.0345308131229978,-0.0096867333311709,-0.0294914565387747,-0.0016938304520842,4.13799622967948,3,0.173202614379085,3.92103898587169,2,0.174019607843137,4.27747720431434,3,0.316176470588235,0.163598991432234,0.786219378028789,0.275258163206961,0.560259792490025,0.216957243807788,0.271791076578171,0.565764806089462,0.479162355471468,0.319517308843298,-0.139480974634861,0.0725986391362945,1.13907152008692,0.219024259648396,0.659507779004983,0.356438218442648
ID746,FT0746,268.170113257422,583.378371527857,"3-Hexaprenyl-4,5-Dihydroxybenzoic acid;Campesteryl caffeate;",,583.376858401455,583.379929369925,265.63953693352,270.500146493521,11,742;2133;3650;4924;5982;7005;8101;9333;10561;11758;12985,,0.0,0.0160443751123281,0.015507913607348,-0.0313400638751304,0.0124584369827074,0.0234241977751809,0.0062905980653963,4.54067547313895,3,0.455065359477124,4.80271663898281,3,0.691993464052288,4.83906855407286,3,0.661764705882353,0.0255536349578119,1.59254731353965,0.0762804537326247,1.11758673234091,-0.262041165843861,0.014522467429329,1.83795958887677,0.0985569699698283,1.00631265690055,-0.298393080933918,0.673954457493247,0.171369449944856,0.808723859801368,0.0921997436988139,0.0363519150900569
ID747,FT0747,332.149691743426,583.323011989494,NCGC00384810-01!;NCGC00385384-01![(6R)-6-hydroxy-2-methyl-5-,,583.322398880945,583.323625098044,331.421517717877,332.877865768975,2,2132;12984,78.95872;152.9975;241.0108;267.2352;403.2594;421.2639;583.3256|84;36;372;156;529;36;1045,1.0,-0.0090410160239358,0.0044222643459538,-0.0279065533351427,-0.0042179462447631,0.0315868724486779,0.023163937013526,3.70495848454319,1,0.0269607843137255,3.6046151526552,0,0.0163398692810458,3.73500998114236,1,0.0204248366013072,0.373900966300059,0.427243412464819,0.484179615133447,0.314993499118616,0.100343331887994,0.863959571622878,0.0635065795487603,0.918183250215122,0.0370706340329643,-0.0300514965991714,0.373900966300059,0.42724341246482,0.561573265987348,0.250593575220363,0.130394828487165
ID748,FT0748,267.912759118639,584.381206226599,,,584.380297531575,584.3828055521,265.63953693352,269.464695179525,8,2135;4925;5983;7007;8103;10562;11760;12987,,0.0,0.0202551194462639,0.0220322871465487,-0.0365804223832044,0.0023064551321032,0.0405029518257958,0.030151537166389,3.81902813198323,1,0.0441176470588235,4.13170197219566,3,0.298202614379085,4.19922522563833,3,0.244281045751634,0.0577258972595988,1.23862930792375,0.135632724016964,0.867635515886269,-0.312673840212427,0.0279940284373798,1.55293460056074,0.14815745178496,0.82927650019,-0.380197093655104,0.453536120769816,0.343388118909689,0.636850248871234,0.195962677138254,0.0675232534426762
ID753,FT0753,415.246466263393,594.048840074186,Adenosine diphosphate ribose;Phosphoribosyl-AMP;Celecoxib gl,,594.046648638729,594.049428507907,413.621219892752,415.622696327139,7,4927;5986;7009;8108;9337;11763;12992,116.046;127.0031;141.017;184.031;184.0389;198.0476;266.0367;280.0526;348.0353;430.043|96;72;108;80;36;532;36;96;36;36,1.0,0.0235480994570701,0.0010979492915462,-0.0376793111796198,0.0041231400103649,-0.0387350487129424,-0.0006032674596699,3.66254278517087,0,0.0196078431372549,4.04727734253304,3,0.240196078431373,3.90227812664586,2,0.0694444444444444,0.0006997277283609,3.15507091580409,0.0054307900465693,2.26513698663453,-0.384734557362167,0.118290942839588,0.927048506643172,0.31408813851289,0.502948464351792,-0.239735341474985,0.319016730124833,0.496186540734751,0.537218649430996,0.269848919301187,-0.144999215887182
ID754,FT0754,44.8639244150315,594.31298027801,,,594.308394980679,594.318194676925,43.7730930098904,45.2289236855597,9,750;2141;3659;5987;7010;8109;9338;10568;12993,,0.0,-0.0084592644686709,-0.0123425455452089,-0.0078133731404729,0.0329398497418742,0.0286117293397783,-0.0167098211370834,4.07842173377545,3,0.132352941176471,4.00892158986284,2,0.218954248366013,3.94318097527352,2,0.0849673202614379,0.70283036683607,0.153149482429408,0.76984284773201,0.113597920708679,0.0695001439126095,0.410739049999499,0.386434005709537,0.571904507175643,0.242676480767898,0.13524075850193,0.777757966101144,0.109155531982613,0.871763600417632,0.0596012684541314,-0.0657406145893202
