ID,IGF_1_1_1_Met_PB_06_12_20,IGF_1_2_1_Met_PB_06_12_20,IGF_1_3_1_Met_PB_06_12_20,QC1,QC2,Rapamycin_1_1_Met_PB_6_12_20,Rapamycin_2_1_Met_PB_6_12_20,Rapamycin_3_1_Met_PB_6_12_20,V__Control_1_1_Met_PB_6_12_20,V__Control_2_1_Met_PB_6_12_20,V__Control_3_1_Met_PB_6_12_20
FT0028,4.85621306837198,4.85633407190172,4.95021683182723,4.73700236489473,4.73408444762436,4.13208377437689,4.18684769149156,4.40725154989261,4.41234548747792,4.41248087145259,4.37394479730962
FT0029,4.53100516279095,4.38383218405356,4.39943015039338,3.60609897343034,3.9598842318641,3.8141971638833,3.72705738076403,,3.84686951770903,3.83952760804319,3.67101033391731
FT0030,4.65725252267471,4.6026555107481,4.5502523157384,4.64621198906974,4.61495380114222,4.6857662831775,4.63077891165556,4.12792253915873,4.67203242779583,4.65019508671196,4.57666038285102
FT0031,6.50644306104022,6.42887326181149,6.51949786667532,6.5219178228152,6.53209312341558,6.55100241295565,6.50929881293044,5.72740772572596,6.45358775411428,6.70476159177529,6.49031608560011
FT0032,4.93522668075685,4.54917716975715,4.71144756312114,5.06819118446658,5.038241190581,5.04150239914057,4.888933930346,5.43743262569225,4.96800954216611,4.98465968885269,4.8546914948238
FT0033,4.38404377462382,4.32360999777694,4.4026134561389,4.52558184079961,4.49401658490911,4.64520782874683,4.46947112207688,5.02073989851364,4.39043594593197,4.72172224903588,4.3889307577112
FT0034,4.47212288256043,4.32977717481705,4.295284656479,4.55116708475537,4.54773027802008,4.53958832644782,4.4602816601714,4.37148597078729,4.54482871815812,4.50376307219752,4.41858630496309
FT0035,4.34615343452901,4.21958354419211,4.27657964660621,4.45086390748789,4.43737943890281,4.53898882475368,4.15462832606477,4.87859085599874,4.18038232204247,4.18803414701876,4.35538183344134
FT0036,4.09919692677877,4.23290346269107,4.29921812225084,4.6365139338803,4.51706775977178,4.5828294031533,3.55871284901776,5.34409413476256,4.62746757080125,3.97097562542351,4.04953247950775
FT0037,4.46499478905719,4.5217908395279,4.55444595617505,4.51863428894256,4.53620318559407,4.66720907803411,4.65895741466511,4.73077376525045,4.47358711423754,4.53755246328113,4.41663694025024
FT0038,5.90025287347072,5.76793130613096,5.80252617850508,5.78769469849976,5.79492595132273,5.81012470962466,5.77348949857351,5.9158843052846,5.80700228417941,5.81746539268837,5.71168621771109
FT0039,4.74755457070744,4.66178163716114,4.75012158742841,4.91106715346557,4.89937993658279,5.01570901309409,4.99916610774049,4.59177363490993,4.89919815111998,5.02828643340385,4.92040074326875
FT0040,4.71671443554821,4.58188765328749,4.67692131606947,4.67744401382503,4.6765344242642,4.82303681114227,4.82393083797824,4.7700462874081,4.61924792876274,4.6958353652087,4.60095431859106
FT0041,4.53574934869423,4.32248443657245,4.29311353504004,4.64002040584384,4.66494777932543,4.67661148092638,4.52832517741572,5.17654086892209,5.23026615033835,4.54587868646347,4.52206951617399
FT0042,4.64003892570456,4.50637994026537,4.56122653812492,4.65608373248704,4.70421622706694,4.70879989025246,4.76128126260263,5.10211084859558,4.75129782572083,4.77461921115756,4.66716182050418
FT0043,4.84492134525797,4.5026187938119,4.68629865751757,4.74029780853093,4.77666655290402,4.86286579410567,4.83268298332187,4.83097307958144,4.8387929552932,4.88579429322535,4.7488764239444
FT0044,6.39814723676718,6.21494839341382,6.29321319309227,6.44295327794201,6.44936115126356,6.50670024383867,6.27090430104466,6.99178917710878,6.38008000619329,6.31167778077775,6.3027865757972
FT0045,4.66138428007715,4.30816770450339,4.6053573231578,4.7126909422898,4.65086103366249,4.83181739815888,4.49329083391682,5.25000250962535,4.6869758083795,4.53061226386018,4.56219892470351
FT0046,4.91880349198685,4.69773807041048,4.72242106476947,4.71397022275457,4.74656401069069,4.8798547318776,4.84516047909546,4.55442400702932,4.82117524503319,4.85770528950519,4.7015229958755
FT0047,4.91143675800589,4.77051056014978,4.81317994589321,4.7700067448582,4.76867786531917,4.74714096398852,4.74889492345336,4.09381337457313,4.88774334368495,4.95713811281985,4.75342527696544
FT0048,5.12953733557988,5.01077539729832,5.16730993023766,5.23480032093666,5.23591401254423,5.33146439446024,5.25882871827564,5.45383367099215,5.2407152151346,5.34900140596167,5.26224479043813
FT0049,4.23519789115683,4.07199689228397,4.07657837271492,4.44911483434348,4.61855340524855,4.76473455258043,4.56971360131677,5.24651617321442,4.6561793282938,4.57558175645666,4.61431995321846
FT0050,5.19046494219987,5.13416092871593,5.17062423383015,5.11147556486366,5.0995914866514,5.1313115091058,5.10626285454808,5.18167644435524,5.06392652133832,5.09273040291006,4.96045964275217
FT0051,4.84872517303059,4.76340588158359,4.8327382853083,4.83418064286219,4.80511466437063,4.68643284066828,4.68528949424933,4.71474814401712,4.91275007076879,4.96375469172167,4.85593067468025
FT0052,5.83171720010695,5.69316107620322,5.72693347995497,5.65541681863832,5.65268649184288,5.69494530152835,5.66240617311225,5.74408329075252,5.6989486519725,5.68894960076044,5.58876847692536
FT0053,4.38031922026323,4.41549101943313,4.5366910112892,4.21990248815954,4.29896091501859,3.76808830202655,3.66961471662243,3.58723333652272,3.83165586665028,3.95786552151656,3.73020653713759
FT0054,4.43976798611762,4.34714967253708,4.37341590581354,4.31997717714611,4.31573937032291,4.33567481429675,4.27301564147315,4.83542432849127,4.34084531020431,4.3285400053424,4.226362683254
FT0055,4.96862054615297,5.01373238004426,4.96770665271716,5.27871650699932,5.40854031041025,5.57240555966582,5.64175240922995,6.76560758367975,5.43791206883927,5.43776758977532,5.59519772318177
FT0056,5.00725424882154,5.00774016642634,5.02554076965967,5.21129985918964,5.26483446612582,5.63435451453798,4.95895234360809,5.3244168674505,4.98780604805092,5.16785868726632,4.91686109329865
FT0057,6.11526372281705,6.01555646630921,6.08252352228286,6.19226419513246,6.19747136839021,6.24149981374002,6.18292200048953,6.3337073856029,6.19833487229879,6.26464429769811,6.17769420376199
FT0058,4.4794479781142,4.40168945291461,4.48150095597376,4.58122851685512,4.62229150236621,4.65310700303122,4.5567236785043,4.73560980166538,4.56142433187043,4.68015448289317,4.55355005718474
FT0059,4.18109022333326,3.67246475713499,3.57547632305094,4.29500154757965,4.38055226980288,4.36410952429656,3.48836564330929,4.70385764770434,3.91943233594922,3.86663490963508,4.09788082854491
FT0060,4.92450858550188,4.90792864377451,4.96334459415413,5.06557132930347,5.06573256446462,5.19320611707576,5.01502339167993,5.67265995518343,5.10586802170749,5.10234424829885,5.11912268541691
FT0061,4.64804882312056,4.67255785166481,4.64756420069858,4.79731637424049,4.79757198783923,4.91469237097265,4.69865077017287,4.12887456171035,4.84700397270308,4.80522698009839,4.7770061618566
FT0062,4.72817696247074,4.65226669335045,4.67690710290964,4.79808279616229,4.80768660950392,4.82353880266472,4.83374852310868,4.99753757558465,4.81073447060804,4.89608720204024,4.77721165045155
FT0063,5.79618823618274,5.66176765228087,5.73286107493017,5.75147007767333,5.754919824837,5.88698069905851,5.87587161062178,5.94640050185517,5.70060222647215,5.77624742546236,5.64953813892482
FT0064,5.9474599805357,5.80718996547643,5.86619469902506,5.84793635822911,5.84329910724012,5.80822764824291,5.81512542904005,5.9201879352736,5.85203078698025,5.88242510684035,5.73357249906889
FT0065,5.50201196254999,5.33869210637753,5.49634749412475,5.48130035749146,5.5595096251473,5.41800924004309,5.4164264396204,5.46407587800438,5.44075839745233,5.52985943370628,5.29644861955413
FT0066,4.7853086389056,4.43388901730356,4.65322130620609,4.75123817682558,4.91394125801777,4.97331929775498,4.74011490056588,6.0733595432991,4.75249866867632,5.05548897750219,5.01370134577025
FT0067,4.57394938300812,4.09955255228699,,5.06804741254201,5.05831176937654,5.24321399239979,5.13329679683366,5.11805878217096,5.17885338422476,5.11015188364075,5.10670795090659
FT0068,5.92949599086991,5.76656701016062,5.82999717257594,5.97812110942181,6.03135072507027,5.97445302559066,5.98715877766125,6.32705661540387,6.00678407142424,6.03322798834159,5.92958631322834
FT0069,5.72349490691299,5.67767076023477,5.78892596563405,5.21406160869919,5.17415471817545,,,,5.51447369973586,4.95757986448259,
FT0070,5.3220248622477,5.20377332755297,5.0733352565597,4.81873543025626,4.71875416951265,4.5819661445729,4.64046141084746,4.67097479953067,4.00520911119776,4.60084936558401,4.54069388446955
FT0071,5.63684353483548,5.61325116665431,5.77275692407644,5.45537366517544,5.48988182272411,5.29955864735681,5.04811351487846,5.87470528151469,5.34176891105608,5.29373123097092,5.2287377654544
